variant,units,N,time_s,gflops,comm_s,compute_s
serial,1,1024,0.256809,8.362,,
openmp,1,1024,0.435000,4.937,,
openmp,2,1024,0.255000,8.422,,
openmp,4,1024,0.148000,14.510,,
openmp,8,1024,0.114000,18.838,,
openmp,16,1024,0.121000,17.748,,
pthreads,1,1024,0.438437,4.898,,
pthreads,2,1024,0.231865,9.262,,
pthreads,4,1024,0.141525,15.174,,
pthreads,8,1024,0.110765,19.388,,
pthreads,16,1024,0.119347,17.994,,
mpi,1,1024,0.248812,8.631,0.004003,0.244807
mpi,2,1024,0.199290,10.776,0.013687,0.192122
mpi,4,1024,0.135661,15.830,0.018214,0.126672
mpi,8,1024,0.156066,13.760,0.029788,0.146206
mpi,16,1024,0.174474,12.308,0.196643,0.078474
